<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NLMK,D,20200104,000000,144.5
NLMK,D,20200107,000000,141.94
NLMK,D,20200109,000000,139.5
NLMK,D,20200110,000000,141.96
NLMK,D,20200111,000000,143.62
NLMK,D,20200114,000000,146.84
NLMK,D,20200115,000000,146.92
NLMK,D,20200116,000000,146.5
NLMK,D,20200117,000000,147.58
NLMK,D,20200118,000000,150.2
NLMK,D,20200121,000000,148.78
NLMK,D,20200122,000000,147.36
NLMK,D,20200123,000000,144.04
NLMK,D,20200124,000000,144.2
NLMK,D,20200125,000000,145
NLMK,D,20200128,000000,143.16
NLMK,D,20200129,000000,144.12
NLMK,D,20200130,000000,144.2
NLMK,D,20200131,000000,143.82
NLMK,D,20200201,000000,138
NLMK,D,20200204,000000,135.98
NLMK,D,20200205,000000,138.42
NLMK,D,20200206,000000,138.82
NLMK,D,20200207,000000,139.44
NLMK,D,20200208,000000,139.98
NLMK,D,20200211,000000,137.58
NLMK,D,20200212,000000,137.2
NLMK,D,20200213,000000,141.24
NLMK,D,20200214,000000,139.14
NLMK,D,20200215,000000,140.32
NLMK,D,20200218,000000,140.42
NLMK,D,20200219,000000,138.9
NLMK,D,20200220,000000,139.12
NLMK,D,20200221,000000,139.98
NLMK,D,20200222,000000,139.82
NLMK,D,20200226,000000,137.72
NLMK,D,20200227,000000,136.74
NLMK,D,20200228,000000,131.4
NLMK,D,20200229,000000,124.94
NLMK,D,20200303,000000,122.18
NLMK,D,20200304,000000,122.36
NLMK,D,20200305,000000,123.16
NLMK,D,20200306,000000,124.38
NLMK,D,20200307,000000,119.56
NLMK,D,20200311,000000,118.04
NLMK,D,20200312,000000,120.7
NLMK,D,20200313,000000,111.14
NLMK,D,20200314,000000,109.54
NLMK,D,20200317,000000,108.76
NLMK,D,20200318,000000,107.8
NLMK,D,20200319,000000,101.1
NLMK,D,20200320,000000,108.42
NLMK,D,20200321,000000,111.56
NLMK,D,20200324,000000,108.36
NLMK,D,20200325,000000,116.08
NLMK,D,20200326,000000,122.12
NLMK,D,20200327,000000,119.76
NLMK,D,20200328,000000,116.4
NLMK,D,20200331,000000,118.78
NLMK,D,20200401,000000,124
NLMK,D,20200402,000000,122.8
NLMK,D,20200403,000000,122.7
NLMK,D,20200404,000000,124.84
NLMK,D,20200407,000000,130
NLMK,D,20200408,000000,132.24
NLMK,D,20200409,000000,133
NLMK,D,20200410,000000,133.46
NLMK,D,20200411,000000,131.58
NLMK,D,20200414,000000,129.92
NLMK,D,20200415,000000,129.04
NLMK,D,20200416,000000,125.32
NLMK,D,20200417,000000,125.5
NLMK,D,20200418,000000,126.1
NLMK,D,20200421,000000,127.5
NLMK,D,20200422,000000,124.88
NLMK,D,20200423,000000,125.5
NLMK,D,20200424,000000,127.46
NLMK,D,20200425,000000,124.84
NLMK,D,20200428,000000,123.16
NLMK,D,20200429,000000,125.6
NLMK,D,20200430,000000,127.1
NLMK,D,20200501,000000,128.34
NLMK,D,20200505,000000,124.8
NLMK,D,20200506,000000,125.08
NLMK,D,20200507,000000,124.06
NLMK,D,20200508,000000,124.9
NLMK,D,20200509,000000,125
NLMK,D,20200513,000000,122.1
NLMK,D,20200514,000000,118.24
NLMK,D,20200515,000000,117.28
NLMK,D,20200516,000000,118.4
NLMK,D,20200519,000000,124.64
NLMK,D,20200520,000000,125.02
NLMK,D,20200521,000000,128.1
NLMK,D,20200522,000000,125.7
NLMK,D,20200523,000000,128.28
NLMK,D,20200526,000000,132.2
NLMK,D,20200527,000000,134
NLMK,D,20200528,000000,135.7
NLMK,D,20200529,000000,138.8
NLMK,D,20200530,000000,137.76
NLMK,D,20200602,000000,137.72
NLMK,D,20200603,000000,138.16
NLMK,D,20200604,000000,139.88
NLMK,D,20200605,000000,138.86
NLMK,D,20200606,000000,142
NLMK,D,20200609,000000,137.58
NLMK,D,20200610,000000,137
NLMK,D,20200611,000000,138.66
NLMK,D,20200612,000000,135.6
NLMK,D,20200616,000000,131.5
NLMK,D,20200617,000000,133.36
NLMK,D,20200618,000000,137.28
NLMK,D,20200619,000000,137.82
NLMK,D,20200620,000000,138.86
NLMK,D,20200623,000000,138.32
NLMK,D,20200624,000000,138.9
NLMK,D,20200626,000000,138.34
NLMK,D,20200627,000000,137.28
NLMK,D,20200630,000000,139.02
NLMK,D,20200701,000000,140.88
NLMK,D,20200703,000000,141.1
NLMK,D,20200704,000000,143.2
NLMK,D,20200707,000000,143.98
NLMK,D,20200708,000000,143.3
NLMK,D,20200709,000000,142.78
NLMK,D,20200710,000000,140.22
NLMK,D,20200711,000000,135.64
NLMK,D,20200714,000000,135.64
NLMK,D,20200715,000000,137.1
NLMK,D,20200716,000000,138.72
NLMK,D,20200717,000000,138.3
NLMK,D,20200718,000000,137.74
NLMK,D,20200721,000000,138.48
NLMK,D,20200722,000000,139.6
NLMK,D,20200723,000000,141.18
NLMK,D,20200724,000000,141.66
NLMK,D,20200725,000000,143.84
NLMK,D,20200728,000000,145.7
NLMK,D,20200729,000000,146.86
NLMK,D,20200730,000000,147.04
NLMK,D,20200731,000000,145.28
NLMK,D,20200801,000000,145.72
NLMK,D,20200804,000000,144.68
NLMK,D,20200805,000000,149.1
NLMK,D,20200806,000000,148.7
NLMK,D,20200807,000000,149.16
NLMK,D,20200808,000000,149.5
NLMK,D,20200811,000000,154.4
NLMK,D,20200812,000000,157.94
NLMK,D,20200813,000000,162.98
NLMK,D,20200814,000000,159.76
NLMK,D,20200815,000000,160.48
NLMK,D,20200818,000000,159.7
NLMK,D,20200819,000000,159.68
NLMK,D,20200820,000000,160.32
NLMK,D,20200821,000000,160.96
NLMK,D,20200822,000000,159.92
NLMK,D,20200825,000000,160.18
NLMK,D,20200826,000000,160.62
NLMK,D,20200827,000000,159.8
NLMK,D,20200828,000000,158.82
NLMK,D,20200829,000000,156.1
NLMK,D,20200901,000000,154.48
NLMK,D,20200902,000000,161.28
NLMK,D,20200903,000000,161.9
NLMK,D,20200904,000000,161.92
NLMK,D,20200905,000000,162.5
NLMK,D,20200908,000000,160.2
NLMK,D,20200909,000000,158.98
NLMK,D,20200910,000000,159.86
