<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
PIKK,D,20200104,000000,407
PIKK,D,20200107,000000,405
PIKK,D,20200109,000000,407
PIKK,D,20200110,000000,406.6
PIKK,D,20200111,000000,407.5
PIKK,D,20200114,000000,405.8
PIKK,D,20200115,000000,409
PIKK,D,20200116,000000,406.6
PIKK,D,20200117,000000,408.1
PIKK,D,20200118,000000,408.9
PIKK,D,20200121,000000,406.8
PIKK,D,20200122,000000,412.9
PIKK,D,20200123,000000,409.2
PIKK,D,20200124,000000,409
PIKK,D,20200125,000000,405.8
PIKK,D,20200128,000000,411.8
PIKK,D,20200129,000000,427
PIKK,D,20200130,000000,428.2
PIKK,D,20200131,000000,434.8
PIKK,D,20200201,000000,435.6
PIKK,D,20200204,000000,431
PIKK,D,20200205,000000,436.6
PIKK,D,20200206,000000,438.9
PIKK,D,20200207,000000,438.7
PIKK,D,20200208,000000,434.2
PIKK,D,20200211,000000,436.4
PIKK,D,20200212,000000,438
PIKK,D,20200213,000000,441
PIKK,D,20200214,000000,436
PIKK,D,20200215,000000,429
PIKK,D,20200218,000000,435
PIKK,D,20200219,000000,436.3
PIKK,D,20200220,000000,435
PIKK,D,20200221,000000,433.2
PIKK,D,20200222,000000,435.7
PIKK,D,20200226,000000,421
PIKK,D,20200227,000000,416
PIKK,D,20200228,000000,409.2
PIKK,D,20200229,000000,390.9
PIKK,D,20200303,000000,398.4
PIKK,D,20200304,000000,410.7
PIKK,D,20200305,000000,401.5
PIKK,D,20200306,000000,402
PIKK,D,20200307,000000,384.2
PIKK,D,20200311,000000,386.3
PIKK,D,20200312,000000,384.6
PIKK,D,20200313,000000,369.7
PIKK,D,20200314,000000,380.6
PIKK,D,20200317,000000,368.5
PIKK,D,20200318,000000,370.9
PIKK,D,20200319,000000,360
PIKK,D,20200320,000000,375
PIKK,D,20200321,000000,384.4
PIKK,D,20200324,000000,375
PIKK,D,20200325,000000,391.5
PIKK,D,20200326,000000,402.5
PIKK,D,20200327,000000,409.7
PIKK,D,20200328,000000,406
PIKK,D,20200331,000000,401
PIKK,D,20200401,000000,410
PIKK,D,20200402,000000,408.5
PIKK,D,20200403,000000,414.2
PIKK,D,20200404,000000,411.6
PIKK,D,20200407,000000,403.2
PIKK,D,20200408,000000,397.7
PIKK,D,20200409,000000,402.9
PIKK,D,20200410,000000,398.7
PIKK,D,20200411,000000,398
PIKK,D,20200414,000000,391
PIKK,D,20200415,000000,395
PIKK,D,20200416,000000,385
PIKK,D,20200417,000000,391.7
