<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20200104,000000,456.9
ROSN,D,20200107,000000,455.6
ROSN,D,20200109,000000,452
ROSN,D,20200110,000000,460.2
ROSN,D,20200111,000000,473.5
ROSN,D,20200114,000000,481.15
ROSN,D,20200115,000000,475.5
ROSN,D,20200116,000000,474.5
ROSN,D,20200117,000000,480.95
ROSN,D,20200118,000000,485.15
ROSN,D,20200121,000000,484.85
ROSN,D,20200122,000000,486.15
ROSN,D,20200123,000000,478.15
ROSN,D,20200124,000000,473.1
ROSN,D,20200125,000000,474
ROSN,D,20200128,000000,468.3
ROSN,D,20200129,000000,477.7
ROSN,D,20200130,000000,481.7
ROSN,D,20200131,000000,481.2
ROSN,D,20200201,000000,480.5
ROSN,D,20200204,000000,479.95
ROSN,D,20200205,000000,480
ROSN,D,20200206,000000,477
ROSN,D,20200207,000000,475.6
ROSN,D,20200208,000000,463.6
ROSN,D,20200211,000000,450
ROSN,D,20200212,000000,454.3
ROSN,D,20200213,000000,465.8
ROSN,D,20200214,000000,463
ROSN,D,20200215,000000,460.5
ROSN,D,20200218,000000,464.7
ROSN,D,20200219,000000,452.2
ROSN,D,20200220,000000,465.65
ROSN,D,20200221,000000,470.4
ROSN,D,20200222,000000,461.75
ROSN,D,20200226,000000,443.85
ROSN,D,20200227,000000,443.7
ROSN,D,20200228,000000,422.05
ROSN,D,20200229,000000,403.4
ROSN,D,20200303,000000,394.5
ROSN,D,20200304,000000,406
ROSN,D,20200305,000000,415.95
ROSN,D,20200306,000000,410.6
ROSN,D,20200307,000000,392.95
ROSN,D,20200311,000000,326.5
ROSN,D,20200312,000000,314.05
ROSN,D,20200313,000000,277.5
ROSN,D,20200314,000000,266.25
ROSN,D,20200317,000000,258.5
ROSN,D,20200318,000000,249.15
ROSN,D,20200319,000000,234
ROSN,D,20200320,000000,264.4
ROSN,D,20200321,000000,287.75
ROSN,D,20200324,000000,274
ROSN,D,20200325,000000,298.5
ROSN,D,20200326,000000,304.75
ROSN,D,20200327,000000,316.2
ROSN,D,20200328,000000,302.8
ROSN,D,20200331,000000,301
ROSN,D,20200401,000000,314.35
ROSN,D,20200402,000000,321
ROSN,D,20200403,000000,340.5
ROSN,D,20200404,000000,345
ROSN,D,20200407,000000,343
ROSN,D,20200408,000000,339.5
ROSN,D,20200409,000000,341.5
ROSN,D,20200410,000000,353
ROSN,D,20200411,000000,344
ROSN,D,20200414,000000,336.7
ROSN,D,20200415,000000,330.95
ROSN,D,20200416,000000,307.25
ROSN,D,20200417,000000,305.75
ROSN,D,20200418,000000,313.9
ROSN,D,20200421,000000,307.9
ROSN,D,20200422,000000,304
ROSN,D,20200423,000000,321.95
ROSN,D,20200424,000000,335
ROSN,D,20200425,000000,324
ROSN,D,20200428,000000,322.9
ROSN,D,20200429,000000,325.1
ROSN,D,20200430,000000,337.95
ROSN,D,20200501,000000,335.65
ROSN,D,20200505,000000,331
ROSN,D,20200506,000000,342.5
ROSN,D,20200507,000000,336.65
ROSN,D,20200508,000000,343
