<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGSP,D,20200104,000000,38.125
SNGSP,D,20200107,000000,38.18
SNGSP,D,20200109,000000,38
SNGSP,D,20200110,000000,37.65
SNGSP,D,20200111,000000,36.975
SNGSP,D,20200114,000000,37.065
SNGSP,D,20200115,000000,36.98
SNGSP,D,20200116,000000,37.27
SNGSP,D,20200117,000000,37.245
SNGSP,D,20200118,000000,37.25
SNGSP,D,20200121,000000,36.96
SNGSP,D,20200122,000000,37.665
SNGSP,D,20200123,000000,37
SNGSP,D,20200124,000000,36.77
SNGSP,D,20200125,000000,36.53
SNGSP,D,20200128,000000,35.69
SNGSP,D,20200129,000000,35.74
SNGSP,D,20200130,000000,36
SNGSP,D,20200131,000000,35.64
SNGSP,D,20200201,000000,36.105
SNGSP,D,20200204,000000,34.7
SNGSP,D,20200205,000000,35.2
SNGSP,D,20200206,000000,34.8
SNGSP,D,20200207,000000,34.77
SNGSP,D,20200208,000000,35
SNGSP,D,20200211,000000,35.135
SNGSP,D,20200212,000000,35.4
SNGSP,D,20200213,000000,35.425
SNGSP,D,20200214,000000,35.35
SNGSP,D,20200215,000000,35.2
SNGSP,D,20200218,000000,35.535
SNGSP,D,20200219,000000,34.95
SNGSP,D,20200220,000000,35.3
SNGSP,D,20200221,000000,35.355
SNGSP,D,20200222,000000,35.36
SNGSP,D,20200226,000000,34.9
SNGSP,D,20200227,000000,34.765
SNGSP,D,20200228,000000,33.755
SNGSP,D,20200229,000000,32.77
SNGSP,D,20200303,000000,32.705
SNGSP,D,20200304,000000,32.93
SNGSP,D,20200305,000000,34.32
SNGSP,D,20200306,000000,33.705
SNGSP,D,20200307,000000,34.04
SNGSP,D,20200311,000000,37.92
SNGSP,D,20200312,000000,37.59
SNGSP,D,20200313,000000,37.065
SNGSP,D,20200314,000000,35.73
SNGSP,D,20200317,000000,36
SNGSP,D,20200318,000000,36.9
SNGSP,D,20200319,000000,36.1
SNGSP,D,20200320,000000,36.525
SNGSP,D,20200321,000000,35.71
SNGSP,D,20200324,000000,35.02
SNGSP,D,20200325,000000,35.2
SNGSP,D,20200326,000000,35.4
SNGSP,D,20200327,000000,35.895
SNGSP,D,20200328,000000,35.405
SNGSP,D,20200331,000000,37
SNGSP,D,20200401,000000,37.6
SNGSP,D,20200402,000000,37.8
SNGSP,D,20200403,000000,38.9
SNGSP,D,20200404,000000,38.6
SNGSP,D,20200407,000000,38.86
SNGSP,D,20200408,000000,37.47
SNGSP,D,20200409,000000,38.7
SNGSP,D,20200410,000000,38.255
SNGSP,D,20200411,000000,38.13
SNGSP,D,20200414,000000,37.65
SNGSP,D,20200415,000000,37.755
SNGSP,D,20200416,000000,36.75
SNGSP,D,20200417,000000,36.555
SNGSP,D,20200418,000000,36.995
SNGSP,D,20200421,000000,37.57
SNGSP,D,20200422,000000,37.05
SNGSP,D,20200423,000000,37.115
SNGSP,D,20200424,000000,37.1
SNGSP,D,20200425,000000,36.85
SNGSP,D,20200428,000000,36.415
SNGSP,D,20200429,000000,36.41
SNGSP,D,20200430,000000,36.665
SNGSP,D,20200501,000000,36.34
SNGSP,D,20200505,000000,36.27
SNGSP,D,20200506,000000,36.155
SNGSP,D,20200507,000000,35.89
SNGSP,D,20200508,000000,35.79
SNGSP,D,20200509,000000,35.82
SNGSP,D,20200513,000000,35.725
SNGSP,D,20200514,000000,35.5
SNGSP,D,20200515,000000,36.33
SNGSP,D,20200516,000000,35.95
SNGSP,D,20200519,000000,36.5
SNGSP,D,20200520,000000,36.55
SNGSP,D,20200521,000000,36.855
SNGSP,D,20200522,000000,36.015
SNGSP,D,20200523,000000,35.605
SNGSP,D,20200526,000000,36.7
SNGSP,D,20200527,000000,36.35
SNGSP,D,20200528,000000,36.365
SNGSP,D,20200529,000000,36.4
SNGSP,D,20200530,000000,35.41
SNGSP,D,20200602,000000,35.415
SNGSP,D,20200603,000000,35.64
SNGSP,D,20200604,000000,34.9
SNGSP,D,20200605,000000,34.455
SNGSP,D,20200606,000000,34.595
SNGSP,D,20200609,000000,34.145
SNGSP,D,20200610,000000,34.3
SNGSP,D,20200611,000000,34.83
SNGSP,D,20200612,000000,34.77
SNGSP,D,20200616,000000,34.54
SNGSP,D,20200617,000000,34.875
SNGSP,D,20200618,000000,34.785
SNGSP,D,20200619,000000,34.8
SNGSP,D,20200620,000000,34.925
SNGSP,D,20200623,000000,34.95
SNGSP,D,20200624,000000,35.11
SNGSP,D,20200626,000000,34.6
SNGSP,D,20200627,000000,34.69
SNGSP,D,20200630,000000,34.81
SNGSP,D,20200701,000000,35.19
SNGSP,D,20200703,000000,35.05
SNGSP,D,20200704,000000,35.52
SNGSP,D,20200707,000000,36.045
SNGSP,D,20200708,000000,35.95
SNGSP,D,20200709,000000,35.84
SNGSP,D,20200710,000000,36
SNGSP,D,20200711,000000,36.15
SNGSP,D,20200714,000000,35.725
SNGSP,D,20200715,000000,35.9
SNGSP,D,20200716,000000,36.125
SNGSP,D,20200717,000000,36.07
SNGSP,D,20200718,000000,36.22
SNGSP,D,20200721,000000,36.28
SNGSP,D,20200722,000000,36.13
SNGSP,D,20200723,000000,36.115
SNGSP,D,20200724,000000,35.905
SNGSP,D,20200725,000000,36.26
SNGSP,D,20200728,000000,36.665
SNGSP,D,20200729,000000,36.8
SNGSP,D,20200730,000000,37.44
SNGSP,D,20200731,000000,37.49
SNGSP,D,20200801,000000,37.555
SNGSP,D,20200804,000000,36.9
SNGSP,D,20200805,000000,36.785
SNGSP,D,20200806,000000,36.54
SNGSP,D,20200807,000000,36.655
SNGSP,D,20200808,000000,36.735
SNGSP,D,20200811,000000,36.925
SNGSP,D,20200812,000000,37.255
SNGSP,D,20200813,000000,37.9
SNGSP,D,20200814,000000,38.145
SNGSP,D,20200815,000000,37.8
SNGSP,D,20200818,000000,37.99
SNGSP,D,20200819,000000,37.81
SNGSP,D,20200820,000000,37.535
SNGSP,D,20200821,000000,37.56
SNGSP,D,20200822,000000,37.855
SNGSP,D,20200825,000000,37.66
SNGSP,D,20200826,000000,38.08
SNGSP,D,20200827,000000,38.53
SNGSP,D,20200828,000000,38.18
SNGSP,D,20200829,000000,37.47
SNGSP,D,20200901,000000,37.22
SNGSP,D,20200902,000000,37.245
SNGSP,D,20200903,000000,37.535
SNGSP,D,20200904,000000,36.955
SNGSP,D,20200905,000000,36.915
SNGSP,D,20200908,000000,37.2
SNGSP,D,20200909,000000,37.125
SNGSP,D,20200910,000000,37.485
SNGSP,D,20200911,000000,37.15
SNGSP,D,20200912,000000,37.1
SNGSP,D,20200915,000000,37.185
SNGSP,D,20200916,000000,37.47
SNGSP,D,20200917,000000,37.415
SNGSP,D,20200918,000000,37.45
SNGSP,D,20200919,000000,37.43
SNGSP,D,20200922,000000,37.565
SNGSP,D,20200923,000000,37.2
SNGSP,D,20200924,000000,37.305
SNGSP,D,20200925,000000,37.67
SNGSP,D,20200926,000000,38.24
SNGSP,D,20200929,000000,38.695
SNGSP,D,20200930,000000,39.52
SNGSP,D,20201001,000000,38.95
SNGSP,D,20201002,000000,39.225
SNGSP,D,20201003,000000,39.585
SNGSP,D,20201006,000000,39.375
SNGSP,D,20201007,000000,39.515
SNGSP,D,20201008,000000,38.59
SNGSP,D,20201009,000000,38.565
SNGSP,D,20201010,000000,37.91
SNGSP,D,20201013,000000,38.085
SNGSP,D,20201014,000000,37.78
SNGSP,D,20201015,000000,38.45
SNGSP,D,20201016,000000,38.21
SNGSP,D,20201017,000000,37.955
SNGSP,D,20201020,000000,37.795
SNGSP,D,20201021,000000,37.53
SNGSP,D,20201022,000000,37.485
SNGSP,D,20201023,000000,37.44
SNGSP,D,20201024,000000,37.27
SNGSP,D,20201027,000000,37.31
SNGSP,D,20201028,000000,37.215
SNGSP,D,20201029,000000,37.425
SNGSP,D,20201030,000000,37.075
SNGSP,D,20201031,000000,36.55
SNGSP,D,20201103,000000,37.26
SNGSP,D,20201104,000000,37.86
SNGSP,D,20201106,000000,37.995
SNGSP,D,20201107,000000,38.615
SNGSP,D,20201110,000000,38.4
SNGSP,D,20201111,000000,38.855
SNGSP,D,20201112,000000,38.6
SNGSP,D,20201113,000000,38.6
SNGSP,D,20201114,000000,39.135
SNGSP,D,20201117,000000,39.235
SNGSP,D,20201118,000000,38.81
SNGSP,D,20201119,000000,38.605
SNGSP,D,20201120,000000,38.69
SNGSP,D,20201121,000000,38.785
SNGSP,D,20201124,000000,38.99
SNGSP,D,20201125,000000,39.01
SNGSP,D,20201126,000000,39.47
SNGSP,D,20201127,000000,39.685
SNGSP,D,20201128,000000,40.16
SNGSP,D,20201201,000000,40
SNGSP,D,20201202,000000,40.045
SNGSP,D,20201203,000000,40.4
SNGSP,D,20201204,000000,39.9
SNGSP,D,20201205,000000,39.18
SNGSP,D,20201208,000000,39.125
SNGSP,D,20201209,000000,39.29
SNGSP,D,20201210,000000,38.875
SNGSP,D,20201211,000000,39.26
SNGSP,D,20201212,000000,40.24
SNGSP,D,20201215,000000,40.235
SNGSP,D,20201216,000000,40.13
SNGSP,D,20201217,000000,40.115
SNGSP,D,20201218,000000,39.91
SNGSP,D,20201219,000000,40.26
SNGSP,D,20201222,000000,40.77
SNGSP,D,20201223,000000,41.415
SNGSP,D,20201224,000000,41.33
SNGSP,D,20201225,000000,40.825
SNGSP,D,20201226,000000,41.145
SNGSP,D,20201229,000000,41.135
SNGSP,D,20201230,000000,41.67
SNGSP,D,20201231,000000,41.915
SNGSP,D,20210105,000000,42.125
SNGSP,D,20210106,000000,42.15
SNGSP,D,20210107,000000,41.815
SNGSP,D,20210109,000000,42.475
SNGSP,D,20210112,000000,42.385
SNGSP,D,20210113,000000,42.21
SNGSP,D,20210114,000000,42.295
SNGSP,D,20210115,000000,42.035
SNGSP,D,20210116,000000,41.915
SNGSP,D,20210119,000000,42.28
SNGSP,D,20210120,000000,41.925
SNGSP,D,20210121,000000,41.845
SNGSP,D,20210122,000000,41.27
SNGSP,D,20210123,000000,41.715
SNGSP,D,20210126,000000,41.6
SNGSP,D,20210127,000000,41.48
SNGSP,D,20210128,000000,41.255
SNGSP,D,20210129,000000,41.095
SNGSP,D,20210130,000000,40.255
SNGSP,D,20210202,000000,40.755
SNGSP,D,20210203,000000,40.845
SNGSP,D,20210204,000000,40.795
SNGSP,D,20210205,000000,41.04
SNGSP,D,20210206,000000,40.69
SNGSP,D,20210209,000000,40.77
SNGSP,D,20210210,000000,40.28
SNGSP,D,20210211,000000,40.275
SNGSP,D,20210212,000000,40.24
SNGSP,D,20210213,000000,40.235
SNGSP,D,20210216,000000,40.195
SNGSP,D,20210217,000000,40.06
SNGSP,D,20210218,000000,40.01
SNGSP,D,20210219,000000,39.825
SNGSP,D,20210220,000000,39.735
SNGSP,D,20210221,000000,40.03
SNGSP,D,20210223,000000,39.785
SNGSP,D,20210225,000000,39.655
SNGSP,D,20210226,000000,39.435
SNGSP,D,20210227,000000,39.28
SNGSP,D,20210302,000000,39.69
SNGSP,D,20210303,000000,40.095
SNGSP,D,20210304,000000,40.15
SNGSP,D,20210305,000000,39.745
SNGSP,D,20210306,000000,40.14
SNGSP,D,20210310,000000,40.715
SNGSP,D,20210311,000000,40.555
SNGSP,D,20210312,000000,40.23
SNGSP,D,20210313,000000,40.285
SNGSP,D,20210316,000000,40.7
SNGSP,D,20210317,000000,40.505
SNGSP,D,20210318,000000,40.28
SNGSP,D,20210319,000000,39.99
SNGSP,D,20210320,000000,39.995
SNGSP,D,20210323,000000,40.15
SNGSP,D,20210324,000000,40.58
SNGSP,D,20210325,000000,40.58
SNGSP,D,20210326,000000,40.82
SNGSP,D,20210327,000000,41.63
SNGSP,D,20210330,000000,41.71
SNGSP,D,20210331,000000,41.465
SNGSP,D,20210401,000000,42.01
SNGSP,D,20210402,000000,42.445
SNGSP,D,20210403,000000,42.985
SNGSP,D,20210406,000000,42.655
SNGSP,D,20210407,000000,42.675
SNGSP,D,20210408,000000,42.835
SNGSP,D,20210409,000000,42.555
SNGSP,D,20210410,000000,42.265
SNGSP,D,20210413,000000,42.54
SNGSP,D,20210414,000000,42.45
SNGSP,D,20210415,000000,42.64
SNGSP,D,20210416,000000,42.635
SNGSP,D,20210417,000000,42.62
SNGSP,D,20210420,000000,42.635
SNGSP,D,20210421,000000,43.425
SNGSP,D,20210422,000000,43.77
SNGSP,D,20210423,000000,43.54
SNGSP,D,20210424,000000,43.065
SNGSP,D,20210427,000000,43.14
SNGSP,D,20210428,000000,43.165
SNGSP,D,20210429,000000,42.955
SNGSP,D,20210430,000000,42.91
SNGSP,D,20210501,000000,43
SNGSP,D,20210505,000000,43.13
SNGSP,D,20210506,000000,43.3
SNGSP,D,20210507,000000,43.68
SNGSP,D,20210508,000000,43.92
SNGSP,D,20210511,000000,44.205
SNGSP,D,20210512,000000,44.895
SNGSP,D,20210513,000000,44.83
SNGSP,D,20210514,000000,45.145
SNGSP,D,20210515,000000,44.995
SNGSP,D,20210518,000000,45.265
SNGSP,D,20210519,000000,45.42
SNGSP,D,20210520,000000,46.335
SNGSP,D,20210521,000000,46.04
SNGSP,D,20210522,000000,46.115
SNGSP,D,20210525,000000,46.445
SNGSP,D,20210526,000000,46.985
SNGSP,D,20210527,000000,46.595
SNGSP,D,20210528,000000,46.445
SNGSP,D,20210529,000000,46.385
SNGSP,D,20210601,000000,46.695
SNGSP,D,20210602,000000,46.815
SNGSP,D,20210603,000000,46.91
SNGSP,D,20210604,000000,46.85
SNGSP,D,20210605,000000,46.71
SNGSP,D,20210608,000000,46.63
SNGSP,D,20210609,000000,46.56
SNGSP,D,20210610,000000,46.33
SNGSP,D,20210611,000000,45.955
SNGSP,D,20210612,000000,45.99
SNGSP,D,20210615,000000,46.635
SNGSP,D,20210616,000000,46.71
SNGSP,D,20210617,000000,46.64
SNGSP,D,20210618,000000,46.625
SNGSP,D,20210619,000000,46.295
SNGSP,D,20210622,000000,46.18
SNGSP,D,20210623,000000,46.45
SNGSP,D,20210624,000000,46.295
SNGSP,D,20210625,000000,46.175
SNGSP,D,20210626,000000,46.35
SNGSP,D,20210629,000000,46.375
SNGSP,D,20210630,000000,46.17
SNGSP,D,20210701,000000,46.355
SNGSP,D,20210702,000000,46.23
SNGSP,D,20210703,000000,46.24
SNGSP,D,20210706,000000,46.815
SNGSP,D,20210707,000000,48.23
SNGSP,D,20210708,000000,48.245
SNGSP,D,20210709,000000,47.355
SNGSP,D,20210710,000000,47.84
SNGSP,D,20210713,000000,47.905
SNGSP,D,20210714,000000,47.525
SNGSP,D,20210715,000000,46.95
SNGSP,D,20210716,000000,46.365
SNGSP,D,20210717,000000,45.86
SNGSP,D,20210720,000000,38.895
SNGSP,D,20210721,000000,38.46
SNGSP,D,20210722,000000,38.18
SNGSP,D,20210723,000000,38.355
SNGSP,D,20210724,000000,38.555
SNGSP,D,20210727,000000,38.425
SNGSP,D,20210728,000000,38.39
SNGSP,D,20210729,000000,38.235
SNGSP,D,20210730,000000,38.13
SNGSP,D,20210731,000000,38.1
SNGSP,D,20210803,000000,37.94
SNGSP,D,20210804,000000,37.895
SNGSP,D,20210805,000000,37.785
SNGSP,D,20210806,000000,37.6
SNGSP,D,20210807,000000,37.48
SNGSP,D,20210810,000000,37.82
SNGSP,D,20210811,000000,37.74
SNGSP,D,20210812,000000,37.975
SNGSP,D,20210813,000000,38.155
SNGSP,D,20210814,000000,37.96
SNGSP,D,20210817,000000,37.825
SNGSP,D,20210818,000000,37.82
SNGSP,D,20210819,000000,37.855
SNGSP,D,20210820,000000,38.085
SNGSP,D,20210821,000000,38.57
SNGSP,D,20210824,000000,38.9
SNGSP,D,20210825,000000,38.815
SNGSP,D,20210826,000000,38.39
SNGSP,D,20210827,000000,38.39
SNGSP,D,20210828,000000,38.445
SNGSP,D,20210831,000000,38.495
SNGSP,D,20210901,000000,38.69
SNGSP,D,20210902,000000,38.535
SNGSP,D,20210903,000000,38.25
SNGSP,D,20210904,000000,38.36
SNGSP,D,20210907,000000,38.29
SNGSP,D,20210908,000000,38.315
SNGSP,D,20210909,000000,38.3
SNGSP,D,20210910,000000,38.07
SNGSP,D,20210911,000000,38.055
SNGSP,D,20210914,000000,38.19
SNGSP,D,20210915,000000,38.135
SNGSP,D,20210916,000000,37.975
SNGSP,D,20210917,000000,37.965
SNGSP,D,20210918,000000,37.665
SNGSP,D,20210921,000000,37.51
SNGSP,D,20210922,000000,37.555
SNGSP,D,20210923,000000,38.135
SNGSP,D,20210924,000000,38.38
SNGSP,D,20210925,000000,38.675
SNGSP,D,20210928,000000,38.525
SNGSP,D,20210929,000000,39.35
SNGSP,D,20210930,000000,40.2
SNGSP,D,20211001,000000,40.055
SNGSP,D,20211002,000000,39.72
SNGSP,D,20211005,000000,39.4
SNGSP,D,20211006,000000,41.4
SNGSP,D,20211007,000000,40.775
SNGSP,D,20211008,000000,40.39
SNGSP,D,20211009,000000,40.395
SNGSP,D,20211012,000000,40.19
SNGSP,D,20211013,000000,40.315
SNGSP,D,20211014,000000,39.975
SNGSP,D,20211015,000000,39.79
SNGSP,D,20211016,000000,39.79
SNGSP,D,20211019,000000,39.235
SNGSP,D,20211020,000000,39.985
SNGSP,D,20211021,000000,39.55
SNGSP,D,20211022,000000,39.3
SNGSP,D,20211023,000000,38.715
SNGSP,D,20211026,000000,38.6
SNGSP,D,20211027,000000,38.565
SNGSP,D,20211028,000000,38.835
SNGSP,D,20211029,000000,38.565
SNGSP,D,20211030,000000,38.57
SNGSP,D,20211102,000000,38.65
SNGSP,D,20211103,000000,38.495
SNGSP,D,20211104,000000,38.35
SNGSP,D,20211106,000000,38.18
SNGSP,D,20211109,000000,38.515
SNGSP,D,20211110,000000,38.405
SNGSP,D,20211111,000000,38.15
SNGSP,D,20211112,000000,39.895
SNGSP,D,20211113,000000,40.53
SNGSP,D,20211116,000000,40.025
SNGSP,D,20211117,000000,39.93
SNGSP,D,20211118,000000,39.295
SNGSP,D,20211119,000000,38.995
SNGSP,D,20211120,000000,39.05
SNGSP,D,20211123,000000,38.695
SNGSP,D,20211124,000000,38.3
SNGSP,D,20211125,000000,38.48
SNGSP,D,20211126,000000,38.32
SNGSP,D,20211127,000000,37.965
SNGSP,D,20211130,000000,37.855
SNGSP,D,20211201,000000,37.525
SNGSP,D,20211202,000000,37.72
SNGSP,D,20211203,000000,38.12
SNGSP,D,20211204,000000,38.12
SNGSP,D,20211207,000000,38.16
SNGSP,D,20211208,000000,38.54
SNGSP,D,20211209,000000,38.135
SNGSP,D,20211210,000000,38.25
SNGSP,D,20211211,000000,38.055
SNGSP,D,20211214,000000,37.19
SNGSP,D,20211215,000000,37
SNGSP,D,20211216,000000,38.36
SNGSP,D,20211217,000000,38.235
SNGSP,D,20211218,000000,38.56
SNGSP,D,20211221,000000,38.425
SNGSP,D,20211222,000000,38.06
SNGSP,D,20211223,000000,38.005
SNGSP,D,20211224,000000,37.98
SNGSP,D,20211225,000000,38.005
SNGSP,D,20211228,000000,38.41
SNGSP,D,20211229,000000,38.15
SNGSP,D,20211230,000000,38.34
SNGSP,D,20211231,000000,38.57
SNGSP,D,20220104,000000,38.87
SNGSP,D,20220105,000000,39.715
SNGSP,D,20220106,000000,39.075
SNGSP,D,20220107,000000,38.9
SNGSP,D,20220111,000000,38.955
SNGSP,D,20220112,000000,39
SNGSP,D,20220113,000000,38.91
SNGSP,D,20220114,000000,38.47
SNGSP,D,20220115,000000,38.59
SNGSP,D,20220118,000000,38.34
SNGSP,D,20220119,000000,37.295
SNGSP,D,20220120,000000,37.465
SNGSP,D,20220121,000000,37.495
SNGSP,D,20220122,000000,37.145
SNGSP,D,20220125,000000,36.375
SNGSP,D,20220126,000000,36.545
SNGSP,D,20220127,000000,36.815
SNGSP,D,20220128,000000,37.05
SNGSP,D,20220129,000000,37.3
SNGSP,D,20220201,000000,37.405
SNGSP,D,20220202,000000,37.31
SNGSP,D,20220203,000000,37.05
SNGSP,D,20220204,000000,36.445
SNGSP,D,20220205,000000,37.075
SNGSP,D,20220208,000000,37.185
SNGSP,D,20220209,000000,37.355
SNGSP,D,20220210,000000,37.445
SNGSP,D,20220211,000000,37.805
SNGSP,D,20220212,000000,37.36
SNGSP,D,20220215,000000,37.41
SNGSP,D,20220216,000000,37.87
SNGSP,D,20220217,000000,37.825
SNGSP,D,20220218,000000,37.255
SNGSP,D,20220219,000000,36.5
SNGSP,D,20220222,000000,32.58
SNGSP,D,20220223,000000,35.005
SNGSP,D,20220225,000000,28.005
SNGSP,D,20220226,000000,29.985
SNGSP,D,20220325,000000,35.3
SNGSP,D,20220326,000000,35.82
SNGSP,D,20220329,000000,35.005
SNGSP,D,20220330,000000,36.4
SNGSP,D,20220331,000000,36.65
SNGSP,D,20220401,000000,36.75
SNGSP,D,20220402,000000,36.5
SNGSP,D,20220405,000000,36.195
SNGSP,D,20220406,000000,35.3
SNGSP,D,20220407,000000,35.11
SNGSP,D,20220408,000000,34.575
SNGSP,D,20220409,000000,34.1
SNGSP,D,20220412,000000,34.4
SNGSP,D,20220413,000000,33.955
SNGSP,D,20220414,000000,34.28
SNGSP,D,20220415,000000,33.88
SNGSP,D,20220416,000000,33.545
SNGSP,D,20220419,000000,32.93
SNGSP,D,20220420,000000,32.06
SNGSP,D,20220421,000000,32.61
SNGSP,D,20220422,000000,32.805
SNGSP,D,20220423,000000,32.575
SNGSP,D,20220426,000000,32
SNGSP,D,20220427,000000,32.41
SNGSP,D,20220428,000000,33.7
SNGSP,D,20220429,000000,33.12
SNGSP,D,20220430,000000,33.275
SNGSP,D,20220505,000000,32.27
SNGSP,D,20220506,000000,32.085
SNGSP,D,20220507,000000,31.995
SNGSP,D,20220512,000000,32.13
SNGSP,D,20220513,000000,31
SNGSP,D,20220514,000000,30.28
SNGSP,D,20220517,000000,32
SNGSP,D,20220518,000000,34.5
SNGSP,D,20220519,000000,33.3
SNGSP,D,20220520,000000,34.99
SNGSP,D,20220521,000000,34.245
SNGSP,D,20220524,000000,33.86
SNGSP,D,20220525,000000,34.1
SNGSP,D,20220526,000000,35.075
SNGSP,D,20220527,000000,35.47
SNGSP,D,20220528,000000,35.47
