<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TATNP,D,20150106,000000,134.7
TATNP,D,20150107,000000,135.3
TATNP,D,20150109,000000,136
TATNP,D,20150110,000000,134.5
TATNP,D,20150113,000000,133.3
TATNP,D,20150114,000000,133.8
TATNP,D,20150115,000000,132.2
TATNP,D,20150116,000000,137.5
TATNP,D,20150117,000000,137.3
TATNP,D,20150120,000000,136.7
TATNP,D,20150121,000000,137.4
TATNP,D,20150122,000000,140.9
TATNP,D,20150123,000000,150.9
TATNP,D,20150124,000000,151.8
TATNP,D,20150127,000000,150
TATNP,D,20150128,000000,148
TATNP,D,20150129,000000,154.2
TATNP,D,20150130,000000,155.2
TATNP,D,20150131,000000,157.7
TATNP,D,20150203,000000,161
TATNP,D,20150204,000000,163.4
TATNP,D,20150205,000000,164.9
TATNP,D,20150206,000000,171.5
TATNP,D,20150207,000000,181.8
TATNP,D,20150210,000000,184
TATNP,D,20150211,000000,183.8
TATNP,D,20150212,000000,183.7
TATNP,D,20150213,000000,185.9
TATNP,D,20150214,000000,185
TATNP,D,20150217,000000,176.8
TATNP,D,20150218,000000,173.4
TATNP,D,20150219,000000,177.5
TATNP,D,20150220,000000,179.4
TATNP,D,20150221,000000,178
TATNP,D,20150225,000000,181.3
TATNP,D,20150226,000000,174
TATNP,D,20150227,000000,170.9
TATNP,D,20150228,000000,168.6
TATNP,D,20150303,000000,169.8
TATNP,D,20150304,000000,176
TATNP,D,20150305,000000,175.9
TATNP,D,20150306,000000,171
TATNP,D,20150307,000000,163.9
TATNP,D,20150311,000000,160.5
TATNP,D,20150312,000000,162.1
TATNP,D,20150313,000000,164.9
TATNP,D,20150314,000000,162.8
TATNP,D,20150317,000000,156.4
TATNP,D,20150318,000000,156.5
TATNP,D,20150319,000000,165
TATNP,D,20150320,000000,163
TATNP,D,20150321,000000,164.7
TATNP,D,20150324,000000,164
TATNP,D,20150325,000000,164.5
TATNP,D,20150326,000000,165.1
TATNP,D,20150327,000000,160.6
TATNP,D,20150328,000000,160.3
TATNP,D,20150331,000000,168.8
TATNP,D,20150401,000000,165.7
TATNP,D,20150402,000000,169.6
TATNP,D,20150403,000000,166.8
TATNP,D,20150404,000000,165.9
TATNP,D,20150407,000000,166.6
TATNP,D,20150408,000000,164
TATNP,D,20150409,000000,167.4
TATNP,D,20150410,000000,164.5
TATNP,D,20150411,000000,161.9
TATNP,D,20150414,000000,165
TATNP,D,20150415,000000,164.3
TATNP,D,20150416,000000,166
TATNP,D,20150417,000000,168
TATNP,D,20150418,000000,164
TATNP,D,20150421,000000,166
TATNP,D,20150422,000000,165.8
TATNP,D,20150423,000000,165.8
TATNP,D,20150424,000000,165.4
TATNP,D,20150425,000000,165.3
TATNP,D,20150428,000000,169.6
TATNP,D,20150429,000000,167.9
TATNP,D,20150430,000000,167.2
TATNP,D,20150501,000000,167
TATNP,D,20150506,000000,166.5
TATNP,D,20150507,000000,166.5
TATNP,D,20150508,000000,165.5
TATNP,D,20150509,000000,166.5
TATNP,D,20150513,000000,166.5
TATNP,D,20150514,000000,166
TATNP,D,20150515,000000,163.2
TATNP,D,20150516,000000,163.9
TATNP,D,20150519,000000,162.2
TATNP,D,20150520,000000,160.9
TATNP,D,20150521,000000,160.6
TATNP,D,20150522,000000,160.7
TATNP,D,20150523,000000,160.9
TATNP,D,20150526,000000,158.1
TATNP,D,20150527,000000,156.9
TATNP,D,20150528,000000,158.3
TATNP,D,20150529,000000,160.1
TATNP,D,20150530,000000,155
TATNP,D,20150602,000000,157.1
TATNP,D,20150603,000000,158.1
TATNP,D,20150604,000000,153.7
TATNP,D,20150605,000000,155
TATNP,D,20150606,000000,156.6
TATNP,D,20150609,000000,156
TATNP,D,20150610,000000,155.2
TATNP,D,20150611,000000,155.9
TATNP,D,20150612,000000,152.4
TATNP,D,20150616,000000,152.5
TATNP,D,20150617,000000,152.4
TATNP,D,20150618,000000,155.8
TATNP,D,20150619,000000,157
TATNP,D,20150620,000000,154
TATNP,D,20150623,000000,156.3
TATNP,D,20150624,000000,158.1
TATNP,D,20150625,000000,157.5
TATNP,D,20150626,000000,157.3
TATNP,D,20150627,000000,157.5
TATNP,D,20150630,000000,157.6
TATNP,D,20150701,000000,156.1
TATNP,D,20150702,000000,157.7
TATNP,D,20150703,000000,159.4
TATNP,D,20150704,000000,157.9
TATNP,D,20150707,000000,158.8
TATNP,D,20150708,000000,158.6
TATNP,D,20150709,000000,157.9
TATNP,D,20150710,000000,158.9
TATNP,D,20150711,000000,159.7
TATNP,D,20150714,000000,162
TATNP,D,20150715,000000,154.6
TATNP,D,20150716,000000,154.9
TATNP,D,20150717,000000,153.9
TATNP,D,20150718,000000,153
TATNP,D,20150721,000000,153.8
TATNP,D,20150722,000000,156.2
TATNP,D,20150723,000000,158
TATNP,D,20150724,000000,158.8
TATNP,D,20150725,000000,152.5
TATNP,D,20150728,000000,154.7
TATNP,D,20150729,000000,155.5
TATNP,D,20150730,000000,156.1
TATNP,D,20150731,000000,159
TATNP,D,20150801,000000,162.4
TATNP,D,20150804,000000,160
TATNP,D,20150805,000000,160.4
TATNP,D,20150806,000000,165.4
TATNP,D,20150807,000000,164
TATNP,D,20150808,000000,163.7
TATNP,D,20150811,000000,163.5
TATNP,D,20150812,000000,166
TATNP,D,20150813,000000,167.1
TATNP,D,20150814,000000,168
TATNP,D,20150815,000000,169.5
TATNP,D,20150818,000000,169.8
TATNP,D,20150819,000000,170
TATNP,D,20150820,000000,164.6
TATNP,D,20150821,000000,165
TATNP,D,20150822,000000,162.1
TATNP,D,20150825,000000,160
TATNP,D,20150826,000000,161.5
TATNP,D,20150827,000000,161.1
TATNP,D,20150828,000000,168.8
TATNP,D,20150829,000000,174.7
TATNP,D,20150901,000000,174
TATNP,D,20150902,000000,174.7
TATNP,D,20150903,000000,176.9
TATNP,D,20150904,000000,181
TATNP,D,20150905,000000,178.4
TATNP,D,20150908,000000,179.1
TATNP,D,20150909,000000,179.4
TATNP,D,20150910,000000,180.1
TATNP,D,20150911,000000,181
TATNP,D,20150912,000000,180
TATNP,D,20150915,000000,180
TATNP,D,20150916,000000,180.8
TATNP,D,20150917,000000,179.3
TATNP,D,20150918,000000,180
TATNP,D,20150919,000000,185
TATNP,D,20150922,000000,179.4
TATNP,D,20150923,000000,171.3
TATNP,D,20150924,000000,168.6
TATNP,D,20150925,000000,171.5
TATNP,D,20150926,000000,172.2
TATNP,D,20150929,000000,170
TATNP,D,20150930,000000,171
TATNP,D,20151001,000000,172
TATNP,D,20151002,000000,172.8
TATNP,D,20151003,000000,172.1
TATNP,D,20151006,000000,174.8
TATNP,D,20151007,000000,175
TATNP,D,20151008,000000,174.5
TATNP,D,20151009,000000,175.5
TATNP,D,20151010,000000,178
TATNP,D,20151013,000000,172.9
TATNP,D,20151014,000000,173.8
TATNP,D,20151015,000000,172.9
TATNP,D,20151016,000000,173.1
TATNP,D,20151017,000000,172.1
TATNP,D,20151020,000000,173.6
TATNP,D,20151021,000000,173.8
TATNP,D,20151022,000000,174
TATNP,D,20151023,000000,174.4
TATNP,D,20151024,000000,174.9
TATNP,D,20151027,000000,178.1
TATNP,D,20151028,000000,183.7
TATNP,D,20151029,000000,182.9
TATNP,D,20151030,000000,180
TATNP,D,20151031,000000,180.9
TATNP,D,20151103,000000,182.3
TATNP,D,20151104,000000,184.8
TATNP,D,20151106,000000,186.8
TATNP,D,20151107,000000,188.5
TATNP,D,20151110,000000,196.5
TATNP,D,20151111,000000,191.8
TATNP,D,20151112,000000,191.7
TATNP,D,20151113,000000,191.3
TATNP,D,20151114,000000,189.5
