<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
TATN,D,20200104,000000,776.7
TATN,D,20200107,000000,776
TATN,D,20200109,000000,788
TATN,D,20200110,000000,806.7
TATN,D,20200111,000000,801
TATN,D,20200114,000000,806
TATN,D,20200115,000000,811.6
TATN,D,20200116,000000,807
TATN,D,20200117,000000,808.9
TATN,D,20200118,000000,809.6
TATN,D,20200121,000000,830
TATN,D,20200122,000000,825
TATN,D,20200123,000000,818
TATN,D,20200124,000000,800
TATN,D,20200125,000000,795.7
TATN,D,20200128,000000,779.8
TATN,D,20200129,000000,779
TATN,D,20200130,000000,780
TATN,D,20200131,000000,777
TATN,D,20200201,000000,761
TATN,D,20200204,000000,751.6
TATN,D,20200205,000000,764.3
TATN,D,20200206,000000,765.3
TATN,D,20200207,000000,762.9
TATN,D,20200208,000000,752
TATN,D,20200211,000000,741
TATN,D,20200212,000000,753.7
TATN,D,20200213,000000,768.2
TATN,D,20200214,000000,763
TATN,D,20200215,000000,763.1
TATN,D,20200218,000000,766.1
TATN,D,20200219,000000,750.8
TATN,D,20200220,000000,765.4
TATN,D,20200221,000000,764.1
TATN,D,20200222,000000,755
TATN,D,20200226,000000,721.4
TATN,D,20200227,000000,724.3
TATN,D,20200228,000000,691.6
TATN,D,20200229,000000,671.6
TATN,D,20200303,000000,667.9
TATN,D,20200304,000000,682.7
TATN,D,20200305,000000,695.3
TATN,D,20200306,000000,696.2
TATN,D,20200307,000000,658.5
TATN,D,20200311,000000,530
TATN,D,20200312,000000,527.7
TATN,D,20200313,000000,469.8
TATN,D,20200314,000000,458.7
TATN,D,20200317,000000,442.3
TATN,D,20200318,000000,422.1
TATN,D,20200319,000000,385
TATN,D,20200320,000000,455.9
TATN,D,20200321,000000,515.6
TATN,D,20200324,000000,503.8
TATN,D,20200325,000000,561.2
TATN,D,20200326,000000,562.2
TATN,D,20200327,000000,560
TATN,D,20200328,000000,530
TATN,D,20200331,000000,521.8
TATN,D,20200401,000000,552.6
TATN,D,20200402,000000,544
TATN,D,20200403,000000,585
TATN,D,20200404,000000,600.6
TATN,D,20200407,000000,608.9
TATN,D,20200408,000000,583.6
TATN,D,20200409,000000,598
TATN,D,20200410,000000,606.2
TATN,D,20200411,000000,601.4
TATN,D,20200414,000000,587
TATN,D,20200415,000000,554.6
TATN,D,20200416,000000,510.6
TATN,D,20200417,000000,510.4
TATN,D,20200418,000000,516.4
TATN,D,20200421,000000,488.4
TATN,D,20200422,000000,476.7
TATN,D,20200423,000000,514.4
TATN,D,20200424,000000,532.2
TATN,D,20200425,000000,521.9
TATN,D,20200428,000000,516.7
TATN,D,20200429,000000,529.8
