<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
UPRO,D,20150106,000000,2.219
UPRO,D,20150107,000000,2.181
UPRO,D,20150109,000000,2.235
UPRO,D,20150110,000000,2.3
UPRO,D,20150113,000000,2.243
UPRO,D,20150114,000000,2.27
UPRO,D,20150115,000000,2.3
UPRO,D,20150116,000000,2.355
UPRO,D,20150117,000000,2.394
UPRO,D,20150120,000000,2.384
UPRO,D,20150121,000000,2.342
UPRO,D,20150122,000000,2.361
UPRO,D,20150123,000000,2.495
UPRO,D,20150124,000000,2.475
UPRO,D,20150127,000000,2.409
UPRO,D,20150128,000000,2.381
UPRO,D,20150129,000000,2.378
UPRO,D,20150130,000000,2.411
UPRO,D,20150131,000000,2.499
UPRO,D,20150203,000000,2.453
UPRO,D,20150204,000000,2.474
UPRO,D,20150205,000000,2.45
UPRO,D,20150206,000000,2.511
UPRO,D,20150207,000000,2.57
UPRO,D,20150210,000000,2.55
UPRO,D,20150211,000000,2.603
UPRO,D,20150212,000000,2.646
UPRO,D,20150213,000000,2.792
UPRO,D,20150214,000000,2.847
UPRO,D,20150217,000000,2.804
UPRO,D,20150218,000000,2.82
UPRO,D,20150219,000000,2.849
UPRO,D,20150220,000000,2.751
UPRO,D,20150221,000000,2.779
UPRO,D,20150225,000000,2.726
UPRO,D,20150226,000000,2.701
UPRO,D,20150227,000000,2.9
UPRO,D,20150228,000000,2.781
UPRO,D,20150303,000000,2.85
UPRO,D,20150304,000000,2.91
UPRO,D,20150305,000000,2.89
UPRO,D,20150306,000000,2.88
UPRO,D,20150307,000000,2.867
UPRO,D,20150311,000000,2.875
UPRO,D,20150312,000000,2.847
UPRO,D,20150313,000000,2.85
UPRO,D,20150314,000000,2.77
UPRO,D,20150317,000000,2.726
UPRO,D,20150318,000000,2.87
UPRO,D,20150319,000000,2.78
UPRO,D,20150320,000000,2.73
UPRO,D,20150321,000000,2.718
UPRO,D,20150324,000000,2.78
UPRO,D,20150325,000000,2.768
UPRO,D,20150326,000000,2.848
UPRO,D,20150327,000000,2.819
UPRO,D,20150328,000000,2.9
UPRO,D,20150331,000000,2.9
UPRO,D,20150401,000000,2.95
UPRO,D,20150402,000000,2.95
UPRO,D,20150403,000000,2.89
UPRO,D,20150404,000000,2.916
UPRO,D,20150407,000000,3.03
UPRO,D,20150408,000000,3
UPRO,D,20150409,000000,3.025
UPRO,D,20150410,000000,3.06
UPRO,D,20150411,000000,3
UPRO,D,20150414,000000,3.234
UPRO,D,20150415,000000,3.075
UPRO,D,20150416,000000,3.1
UPRO,D,20150417,000000,3.181
UPRO,D,20150418,000000,3.07
UPRO,D,20150421,000000,2.982
UPRO,D,20150422,000000,3.069
UPRO,D,20150423,000000,3.11
UPRO,D,20150424,000000,3.101
UPRO,D,20150425,000000,3.2
UPRO,D,20150428,000000,3.149
UPRO,D,20150429,000000,3.115
UPRO,D,20150430,000000,3.147
UPRO,D,20150501,000000,3.15
UPRO,D,20150506,000000,3.187
UPRO,D,20150507,000000,3.173
UPRO,D,20150508,000000,3.116
UPRO,D,20150509,000000,3.125
UPRO,D,20150513,000000,3.193
UPRO,D,20150514,000000,3.144
UPRO,D,20150515,000000,3.131
UPRO,D,20150516,000000,3.123
UPRO,D,20150519,000000,3.107
UPRO,D,20150520,000000,3.101
UPRO,D,20150521,000000,3.035
UPRO,D,20150522,000000,3.056
UPRO,D,20150523,000000,3.135
UPRO,D,20150526,000000,3.051
UPRO,D,20150527,000000,3.1
UPRO,D,20150528,000000,3.074
UPRO,D,20150529,000000,3.05
UPRO,D,20150530,000000,3.01
UPRO,D,20150602,000000,3.017
UPRO,D,20150603,000000,3.01
UPRO,D,20150604,000000,2.918
UPRO,D,20150605,000000,2.836
UPRO,D,20150606,000000,2.867
UPRO,D,20150609,000000,2.933
UPRO,D,20150610,000000,2.92
UPRO,D,20150611,000000,2.912
UPRO,D,20150612,000000,2.864
UPRO,D,20150616,000000,2.802
UPRO,D,20150617,000000,2.822
UPRO,D,20150618,000000,2.922
UPRO,D,20150619,000000,2.94
UPRO,D,20150620,000000,2.81
UPRO,D,20150623,000000,2.855
UPRO,D,20150624,000000,2.853
UPRO,D,20150625,000000,2.879
UPRO,D,20150626,000000,2.93
UPRO,D,20150627,000000,2.97
